CVCY,$11.13,1439683841745,200
CENX,$6.07,1439683841772,1106936
CENT,$11.21,1439683841793,16568
CNBKA,$41.61,1439683841855,2429
CNTY,$6.35,1439683841889,7045
CPHD,$49.05,1439683841976,966386
CRNT,$1.4,1439683842000,268791
CERE,$1.75,1439683842109,272756
CERU,$3.5,1439683842221,42059
KOOL,$0.675,1439683842247,13513
CERN,$64.253,1439683842294,2095458
CERS,$4.76,1439683842390,382454
CYOU,$20.2964,1439683842443,76909
CEVA,$19.26,1439683842474,81703
HOTR,$1.62,1439683842625,194026
GTLS,$24.72,1439683842661,308120
CTHR,$1.23,1439683842689,32192
CHFN,$12.62,1439683842817,35586
CHKP,$80.8,1439683842941,533556
CHTR,$180,1439683842976,514138
CHEK,$3.33,1439683842994,2931
CEMI,$4.74,1439683843125,3616
CCXI,$6.53,1439683843229,75187
CHFC,$32.92,1439683843284,29124
CHMG,$26.65,1439683843399,17
CHKE,$27.96,1439683843479,14705
CHMA,$28.7,1439683843498,281053
CHEV,$14.8,1439683843521,883
PLCE,$59.59,1439683843676,156707
CBNK,$16.82,1439683843699,138
CMRX,$49.98,1439683843710,186569
CAAS,$6.73,1439683843915,32872
CALI,$1.02,1439683843950,5147
CBPO,$109.63,1439683844050,137138
CCCL,$0.93,1439683844093,2179
JRJC,$4.44,1439683844188,15373
CHOP,$1.3,1439683844309,1815
CHLN,$1.39,1439683844470,6811
CNIT,$1.82,1439683844497,81629
HGSH,$1.93,1439683844568,8547
CJJD,$2.25,1439683844587,29683
CHNR,$2.0101,1439683844695,110
HTHT,$24.6555,1439683844715,77339
CBAK,$2.48,1439683844764,5531
CREG,$0.77,1439683844885,22815
CSUN,$1.54,1439683845026,16327
CNTF,$0.95,1439683845040,26649
CPGI,$6.99,1439683845085,1372
CNYD,$3.41,1439683845204,401
CCIH,$9.79,1439683845222,32972
CNET,$0.824,1439683845244,12696
CXDC,$6.25,1439683845259,21845
IMOS,$15.8765,1439683845359,87325
CHSCL,$27.15,1439683845381,17402
CHSCM,$26.36,1439683845509,14485
CHSCN,$27.5,1439683845563,2252
CHSCP,$30.63,1439683845587,1730
CHSCO,$28.5,1439683845605,2713
CHDN,$135.81,1439683845631,23011
CHUY,$32.95,1439683845732,149930
CDTX,$14.5,1439683845898,18948
CMPR,$70.48,1439683845984,173078
CMCT,$15.6,1439683846023,927
CIFC,$7.35,1439683846068,2606
CIDM,$0.7,1439683846105,143667
CINF,$56.6513,1439683846125,274162
CTAS,$88.49,1439683846138,219344
CPHR,$7.5,1439683846171,20308
CRUS,$29.35,1439683846341,680690
CSCO,$29.05,1439683846413,19482765
CZNC,$20.34,1439683846448,40689
CTRN,$22.76,1439683846473,32987
CZWI,$9.17,1439683846552,535
CIZN,$19.6,1439683846628,18
CTXS,$77.55,1439683846814,816989
CIVB,$10.29,1439683846829,845
CHCO,$48.29,1439683846850,23230
CLNE,$4.94,1439683846914,579431
CDTI,$1.61,1439683846937,47350
CLNT,$1.97,1439683847015,32118
CLFD,$18.18,1439683847188,21757
CLIR,$5.3,1439683847211,58399
CLRO,$11.9,1439683847222,9018
CBLI,$3.57,1439683847307,62396
CSBK,$14.03,1439683847328,66895
CMFN,$11.225,1439683847445,10095
CLVS,$77.07,1439683847517,186536
CCNE,$17.36,1439683847570,11405
CME,$98.1796,1439683847605,686578
CISG,$8.5,1439683847616,30224
CWAY,$11.5,1439683847735,1402
CNV,$4.92,1439683847765,31030
COBZ,$12.82,1439683847800,46622
COKE,$162.85,1439683847828,21305
CDRB,$13.06,1439683848003,16884
CDXS,$3.69,1439683848022,542941
CVLY,$20.68,1439683848130,1001
JVA,$4.77,1439683848181,2178
CCOI,$29.16,1439683848204,323506
CGNX,$36.99,1439683848218,235019
CTSH,$67.17,1439683848461,1997748
COHR,$58.79,1439683848481,46930
CHRS,$34.14,1439683848513,150579
COHU,$9.52,1439683848524,54839
CGNT,$1.57,1439683848543,31943
CLRX,$0.48,1439683848577,30833
CLCT,$19.76,1439683848588,12796
COLL,$16.76,1439683848663,26390
CBAN,$9.18,1439683848859,696
CIGI,$47.34,1439683848883,12840
COLB,$33.06,1439683848997,244214
CLCD,$8.07,1439683849015,25111
COLM,$65.52,1439683849086,73336
CMCSA,$58.99,1439683849110,9046286
CMCO,$22.05,1439683849132,41805
CBMX,$1.32,1439683849151,9080
CBSH,$47.5595,1439683849228,94480
CMCSK,$59.4284,1439683849284,2116219
CUBN,$13.84,1439683849350,8599
COMM,$31.6,1439683849473,387513
CBSHP,$25.44,1439683849491,12520
CVGI,$4.96,1439683849526,77971
JCS,$9.8,1439683849577,3640
ESXB,$5.12,1439683849742,20106
CSAL,$23.0646,1439683849759,482140
CTBI,$35.13,1439683849846,36097
COB,$10.9,1439683849922,31489
CVLT,$37.51,1439683849945,155345
CYHHZ,$0.012,1439683849955,396294
CIZ,$35.22,1439683849976,3483
CWBC,$6.76,1439683849997,2326
CDC,$36.72,1439683850336,9346
CFO,$37.55,1439683850381,14685
CSF,$38.404,1439683850497,3987
CDL,$35.5,1439683850538,1200
CFA,$37.4308,1439683850652,625
CPSI,$46.19,1439683850679,59316
CTG,$6.54,1439683850731,14602
SCOR,$63.99,1439683850783,147311
CGEN,$5.78,1439683850803,67614
CHCI,$0.5499,1439683850864,6412
CNSI,$19.31,1439683850926,38416
CMTL,$28.25,1439683851009,21410
CNAT,$4.02,1439683851121,94837
CNCE,$16.51,1439683851304,261188
CXRX,$76.81,1439683851324,3328
CDOR,$1.47,1439683851365,4104
CCUR,$5.16,1439683851398,11624
CNFR,$10.5,1439683851428,73332
CDORP,$7.48,1439683851468,4900
CDORO,$19.55,1439683851485,955
CFMS,$22.03,1439683851506,107758
CNMD,$56.07,1439683851657,75211
CTWS,$35.15,1439683851715,16970
CNXR,$7.1,1439683851751,15900
CNOB,$20.29,1439683851779,21914
CNSL,$20.6,1439683851909,103551
CONN,$35.36,1439683851928,224161
CPSS,$5.5839,1439683852102,41993
CFRX,$4.54,1439683852124,34379
CTCT,$24.67,1439683852164,171330
CWCO,$11.97,1439683852178,45051
CFRXZ,$0.388,1439683852326,5198
CTRV,$4.4,1439683852345,9138
CTRL,$8.59,1439683852448,83173
CPRT,$36.38,1439683852467,123592
CORT,$5.29,1439683852588,117705
CRBP,$1.85,1439683852608,51601
BVA,$3.87,1439683852679,2924
CORI,$11.57,1439683852778,305165
CORE,$64.92,1439683852796,83301
CRVL,$33,1439683852913,11047
COSI,$1.32,1439683852935,146237
CSOD,$38.79,1439683852959,215145
COST,$146.09,1439683852969,812356
CSGP,$195.58,1439683853004,58789
CPAH,$0.45,1439683853094,3990
ICBK,$18.8,1439683853166,5
CVTI,$25.72,1439683853265,86095
COVS,$3,1439683853283,81990
COWN,$5.69,1439683853352,810359
COWNL,$27.35,1439683853457,1700
CBRL,$151.13,1439683853533,193977
BREW,$8.29,1439683853580,29057
CRAI,$23.07,1439683853599,17184
CRAY,$23.42,1439683853615,101120
CPSH,$2.42,1439683853634,1072
CACC,$208.7,1439683853708,73625
GLDI,$10.94,1439683853767,1486
SLVO,$10.52,1439683853890,2025
CREE,$27,1439683853909,736542
CRESY,$11.64,1439683853995,34022
CROX,$15.03,1439683854040,695076
CRTO,$46.1135,1439683854226,151489
CRWS,$8.12,1439683854264,12956
CCRN,$14.11,1439683854283,104581
CRDS,$1.13,1439683854297,9494
CSGS,$31.91,1439683854401,62662
CRWN,$4.79,1439683854416,122136
CYRX,$3.01,1439683854456,34312
CCLP,$15.11,1439683854479,41482
CYRXW,$0.75,1439683854596,3200
CSPI,$6.25,1439683854694,2426
CTCM,$1.81,1439683854742,421922
CTIC,$1.78,1439683854784,675461
CTIB,$3.56,1439683854885,142
CUNB,$22.57,1439683854904,15094
CTRP,$71.58,1439683854923,647995
CPIX,$5.88,1439683855029,3244
CUI,$5.53,1439683855184,27959
CUTR,$15.06,1439683855194,25137
CRIS,$2.81,1439683855213,409127
CMLS,$1.33,1439683855243,351192
CVBF,$17.49,1439683855263,216059
CYAN,$7.71,1439683855336,1820
CVV,$11.9,1439683855432,17365
CYBR,$58.613,1439683855598,1090998
CYBX,$59.23,1439683855613,95419
CYBE,$5.67,1439683855632,12559
CYCCP,$5.9999,1439683855850,400
CYCC,$0.6,1439683855871,62551
CYNA,$15.08,1439683855888,32912
CYNO,$34.48,1439683855898,107143
CBAY,$2.63,1439683855920,74945
CY,$10.2,1439683855989,4925613
CONE,$34.6169,1439683856109,440802
